tanggal_mulai,tanggal_selesai,event,kategori,catatan,sumber
2026-01-20,2026-01-21,RDG Bank Indonesia (cakupan triwulanan),Bank Indonesia,Keputusan BI Rate + evaluasi triwulanan,https://www.bi.go.id/id/publikasi/ruang-media/news-release/Pages/sp_2730825.aspx
2026-01-27,2026-01-28,FOMC Meeting (Rate Decision),Fed/Global,Keputusan suku bunga The Fed + konferensi pers,https://fedratecalc.com/fomc-meeting-schedule/
2026-02-10,2026-02-10,MSCI Quarterly Index Review - Indonesia,Index Rebalancing,Review kuartalan konstituen & bobot indeks MSCI,https://www.msci.com/indexes/quarterly-index-review
2026-02-18,2026-02-19,RDG Bank Indonesia,Bank Indonesia,Keputusan BI Rate bulanan,https://www.bi.go.id/id/publikasi/ruang-media/news-release/Pages/sp_2730825.aspx
2026-03-16,2026-03-17,RDG Bank Indonesia,Bank Indonesia,Keputusan BI Rate bulanan,https://www.bi.go.id/id/publikasi/ruang-media/news-release/Pages/sp_2730825.aspx
2026-03-17,2026-03-18,FOMC Meeting + Dot Plot,Fed/Global,Termasuk proyeksi ekonomi (dot plot) - biasanya lebih volatile dari meeting biasa,https://fedratecalc.com/fomc-meeting-schedule/
2026-04-21,2026-04-22,RDG Bank Indonesia (cakupan triwulanan),Bank Indonesia,Keputusan BI Rate + evaluasi triwulanan,https://www.bi.go.id/id/publikasi/ruang-media/news-release/Pages/sp_2730825.aspx
2026-04-28,2026-04-29,FOMC Meeting,Fed/Global,Keputusan suku bunga The Fed + konferensi pers,https://fedratecalc.com/fomc-meeting-schedule/
2026-05-04,2026-05-04,Efektif Evaluasi Mayor LQ45/IDX30/IDX80,Index Rebalancing,Rebalancing indeks utama BEI (sudah berlalu - referensi historis),https://kumparan.com/kumparanbisnis/bei-ubah-daftar-saham-lq45-idx80-dan-idx30-mulai-berlaku-3-agustus-2026-27sHoiFxpNw
2026-05-19,2026-05-20,RDG Bank Indonesia,Bank Indonesia,Keputusan BI Rate bulanan,https://www.bi.go.id/id/publikasi/ruang-media/news-release/Pages/sp_2730825.aspx
2026-05-22,2026-05-22,Pengumuman FTSE Russell GEIS Review Juni 2026 (Indonesia),Index Rebalancing,Pengumuman hasil review sebelum efektif 22 Juni,https://research.ftserussell.com/products/index-notices/home/getnotice/?id=2619601
2026-06-16,2026-06-17,FOMC Meeting + Dot Plot,Fed/Global,Termasuk proyeksi ekonomi (dot plot),https://fedratecalc.com/fomc-meeting-schedule/
2026-06-17,2026-06-18,RDG Bank Indonesia,Bank Indonesia,Keputusan BI Rate bulanan,https://www.bi.go.id/id/publikasi/ruang-media/news-release/Pages/sp_2730825.aspx
